product_name,product_link_name,link,major_category_name,major_category_link
ENTRY DOOR LOCKS & HANDLES,ENTRY DOOR LOCKS & HANDLES,https://www.canadiantire.ca/en/tools-hardware/hardware/door-hardware-accessories/door-locks-handles/entry-door-locks-handles.html?adlocation=LIT_279X217-house&home-exterior-door-locks_EntryDoorLocks_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
INTERIOR DOOR LOCKS & HANDLES,INTERIOR DOOR LOCKS & HANDLES,https://www.canadiantire.ca/en/tools-hardware/hardware/door-hardware-accessories/door-locks-handles/interior-door-locks-handles.html?adlocation=LIT_279X217-house&home-exterior-door-locks_InteriorDoorLocks_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
MOVING & PACKAGING BOXES,MOVING & PACKAGING BOXES,https://www.canadiantire.ca/en/household-pets/moving-supplies/moving-boxes.html?adlocation=LIT_movingSupplies_movingBoxes_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
PACKAGING TAPE & TAPE GUNS,PACKAGING TAPE & TAPE GUNS,https://www.canadiantire.ca/en/household-pets/moving-supplies/tape-guns-tape.html?adlocation=LIT_movingSupplies_tapeGunsTape_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"PENS, PENCILS & MARKERS","PENS, PENCILS & MARKERS",https://www.canadiantire.ca/en/household-pets/office-supplies/pens-pencils-markers.html?adlocation=LIT_movingSupplies_pensPencilsMarkers_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"HAND TRUCKS, TROLLEYS & DOLLY CARTS","HAND TRUCKS, TROLLEYS & DOLLY CARTS",https://www.canadiantire.ca/en/tools-hardware/garage-storage-organization-solutions/dollies-hand-trucks.html?adlocation=LIT_movingSupplies_dolliesHandTrucks_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"BOX CUTTERS, BLADES & UTILITY KNIVES","BOX CUTTERS, BLADES & UTILITY KNIVES",https://www.canadiantire.ca/en/tools-hardware/hand-tools/cutting-tools/utility-knives.html?adlocation=LIT_movingSupplies_utilityKnives_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CALCULATORS,CALCULATORS,https://www.canadiantire.ca/en/household-pets/office-supplies/calculators.html?adlocation=LIT_Category_Product_CaulculatorsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
WOMEN’S CLOTHING & APPAREL,WOMEN’S CLOTHING & APPAREL,https://www.canadiantire.ca/en/clothing-shoes-accessories/clothing/women.html?adlocation=LP_ClothingShoesAccesories_Womens_2021_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
MEN’S CLOTHING & APPAREL,MEN’S CLOTHING & APPAREL,https://www.canadiantire.ca/en/clothing-shoes-accessories/clothing/men.html?adlocation=LP_ClothingShoesAccesories_Mens_2021_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
